date,kp_0h,kp_3h,kp_6h,kp_9h,kp_12h,kp_15h,kp_18h,kp_21h
07/03/2000,3,3,4,4,3,3,3,3
08/03/2000,3,3,2,3,3,3,3,3
09/03/2000,2,0,0,2,3,2,2,2
10/03/2000,1,0,1,3,3,3,2,4
11/03/2000,3,3,4,2,4,2,2,2
12/03/2000,3,3,5,4,4,3,3,3
13/03/2000,2,1,1,0,1,2,2,2
14/03/2000,2,2,1,3,1,2,2,2
15/03/2000,1,0,0,0,1,2,1,2
16/03/2000,0,0,0,0,1,1,2,1
17/03/2000,2,1,2,2,2,2,2,2
18/03/2000,1,0,1,2,2,3,3,2
19/03/2000,2,2,2,2,2,3,3,2
20/03/2000,1,0,1,3,3,2,2,2
21/03/2000,1,0,1,1,3,2,2,2
22/03/2000,2,2,2,3,3,3,3,3
23/03/2000,2,2,2,3,3,3,3,2
24/03/2000,2,2,1,2,4,3,2,2
25/03/2000,2,2,2,2,1,3,3,1
26/03/2000,1,0,2,2,2,3,2,1
27/03/2000,2,1,0,1,2,2,2,1
28/03/2000,2,1,2,2,1,2,2,1
29/03/2000,1,0,1,2,2,2,4,4
30/03/2000,2,2,2,2,3,3,3,3
31/03/2000,3,4,4,4,4,3,3,3
01/04/2000,3,3,1,2,3,4,4,3
02/04/2000,4,3,4,3,3,3,3,3
03/04/2000,3,3,3,3,3,3,2,2
04/04/2000,5,4,2,1,4,3,4,4
05/04/2000,3,4,2,2,3,3,3,3
06/04/2000,3,3,3,3,3,6,7,8
07/04/2000,8,5,5,4,3,4,4,3
08/04/2000,2,2,4,4,3,3,3,3
09/04/2000,3,3,2,2,3,3,3,4
10/04/2000,4,4,4,4,3,2,3,4
11/04/2000,2,3,4,3,3,1,2,2
12/04/2000,3,2,2,2,2,1,2,2
13/04/2000,3,3,3,1,1,2,2,1
14/04/2000,1,1,1,2,1,2,2,2
15/04/2000,1,1,2,2,2,2,3,3
16/04/2000,4,4,4,5,5,3,3,2
17/04/2000,3,3,5,3,1,2,2,2
18/04/2000,2,3,1,1,2,3,3,1
19/04/2000,3,4,2,2,4,3,2,2
20/04/2000,3,3,4,2,3,3,3,2
21/04/2000,2,2,1,4,3,2,2,2
22/04/2000,2,2,3,2,2,2,2,2
23/04/2000,1,1,3,3,2,3,2,2
24/04/2000,2,3,4,4,5,3,3,3
25/04/2000,3,0,1,2,2,2,3,2
26/04/2000,1,0,1,2,1,2,2,2
27/04/2000,1,3,2,3,3,3,3,4
28/04/2000,4,3,4,3,3,3,3,3
29/04/2000,3,3,2,2,3,3,3,3
